issuer,card_name,segment,joining_fee_inr,annual_fee_inr,fee_waiver_condition,best_for,reward_structure_summary,lounge_access,forex_markup_pct,notes_source,variant_id,card_code,synthetic_flag
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_157,SBI_SimplySAVE_157,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_158,SBI_SimplySAVE_158,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_159,SBI_SimplySAVE_159,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_160,SBI_SimplySAVE_160,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_161,SBI_SimplySAVE_161,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_162,SBI_SimplySAVE_162,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_163,SBI_SimplySAVE_163,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_164,SBI_SimplySAVE_164,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_165,SBI_SimplySAVE_165,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_166,SBI_SimplySAVE_166,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_167,SBI_SimplySAVE_167,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_168,SBI_SimplySAVE_168,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_169,SBI_SimplySAVE_169,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_170,SBI_SimplySAVE_170,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_171,SBI_SimplySAVE_171,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_172,SBI_SimplySAVE_172,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_173,SBI_SimplySAVE_173,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_174,SBI_SimplySAVE_174,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_175,SBI_SimplySAVE_175,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_176,SBI_SimplySAVE_176,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_177,SBI_SimplySAVE_177,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_178,SBI_SimplySAVE_178,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_179,SBI_SimplySAVE_179,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_180,SBI_SimplySAVE_180,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_181,SBI_SimplySAVE_181,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_182,SBI_SimplySAVE_182,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_183,SBI_SimplySAVE_183,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_184,SBI_SimplySAVE_184,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_185,SBI_SimplySAVE_185,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_186,SBI_SimplySAVE_186,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_187,SBI_SimplySAVE_187,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_188,SBI_SimplySAVE_188,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_189,SBI_SimplySAVE_189,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_190,SBI_SimplySAVE_190,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_191,SBI_SimplySAVE_191,True
